"name","is_mapped","mapped_by","label","level"
"not hematopoietic",TRUE,"blueprint","non immune","L0"
"CL_0008001",TRUE,"azimuth","hematopoietic precursor cell","L0"
"CL_0000837",TRUE,"blueprint","hematopoietic multipotent progenitor cell","L1"
"CL_0000764",TRUE,"azimuth","erythroid lineage cell","L0"
"CL_0000763",FALSE,"none","myeloid cell","L0"
"CL_0000556",TRUE,"blueprint","megakaryocyte","L1"
"CL_0000232",TRUE,"blueprint","erythrocyte","L1"
"CL_0000050",TRUE,"blueprint","megakaryocyte-erythroid progenitor cell","L2"
"CL_0002032",FALSE,"none","hematopoietic oligopotent progenitor cell","L1"
"CL_0000037",TRUE,"blueprint","hematopoietic stem cell","L1"
"CL_0000557",TRUE,"blueprint","granulocyte monocyte progenitor cell","L2"
"CL_0001012",FALSE,"none","CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor","L2"
"CL_0001060",FALSE,"none","hematopoietic oligopotent progenitor cell, lineage-negative","L2"
"CL_0000233",TRUE,"azimuth","platelet","L1"
"CL_0000235",TRUE,"blueprint","macrophage","L1"
"CL_0000766",FALSE,"none","myeloid leukocyte","L0"
"CL_0000738",FALSE,"none","leukocyte","L0"
"CL_0000049",TRUE,"blueprint","common myeloid progenitor","L2"
"CL_0002043",TRUE,"monaco","CD34-positive, CD38-negative multipotent progenitor cell","L2"
"CL_0000775",TRUE,"blueprint","neutrophil","L1"
"CL_0000094",FALSE,"none","granulocyte","L0"
"CL_0000771",TRUE,"blueprint","eosinophil","L1"
"CL_0000785",TRUE,"azimuth","mature B cell","L1"
"CL_0001201",FALSE,"none","B cell, CD19-positive","L1"
"CL_0000236",TRUE,"monaco","B cell","L1"
"CL_0000945",FALSE,"none","lymphocyte of B lineage","L0"
"CL_0000542",FALSE,"none","lymphocyte","L0"
"CL_0000842",FALSE,"none","mononuclear cell","L0"
"CL_0000051",TRUE,"blueprint","common lymphoid progenitor","L2"
"CL_0000451",TRUE,"azimuth_blueprint","dendritic cell","L0"
"CL_0000576",TRUE,"blueprint","monocyte","L0"
"CL_0000782",TRUE,"monaco","myeloid dendritic cell","L1"
"CL_0000990",FALSE,"none","conventional dendritic cell","L1"
"CL_0000784",TRUE,"azimuth_monaco","plasmacytoid dendritic cell","L1"
"CL_0000096",TRUE,"monaco","mature neutrophil","L2"
"CL_0000860",TRUE,"monaco","classical monocyte","L1"
"CL_0000787",TRUE,"azimuth_blueprint","memory B cell","L1"
"CL_0000980",TRUE,"azimuth_monaco","plasmablast","L1"
"CL_0002399",TRUE,"azimuth","CD1c-positive myeloid dendritic cell","L2"
"CL_0000043",TRUE,"monaco","mature basophil","L2"
"CL_0000767",FALSE,"none","basophil","L1"
"CL_0002393",TRUE,"monaco","intermediate monocyte","L1"
"CL_0000788",TRUE,"azimuth_blueprint_monaco","naive B cell","L1"
"CL_0000875",TRUE,"monaco","non-classical monocyte","L1"
"CL_0002394",TRUE,"azimuth","CD141-positive myeloid dendritic cell","L2"
"CL_0001065",TRUE,"azimuth","innate lymphoid cell","L0"
"CL_0000863",TRUE,"blueprint","inflammatory macrophage","L2"
"CL_0000861",FALSE,"none","elicited macrophage","L1"
"CL_0002057",TRUE,"azimuth","CD14-positive, CD16-negative classical monocyte","L2"
"CL_0002396",TRUE,"azimuth","CD14-low, CD16-positive monocyte","L2"
"CL_0000970",TRUE,"monaco","unswitched memory B cell","L2"
"CL_0000798",TRUE,"azimuth_monaco","gamma-delta T cell","L1"
"CL_0000084",FALSE,"none","T cell","L0"
"CL_0000890",TRUE,"blueprint","alternatively activated macrophage","L2"
"CL_0000972",TRUE,"blueprint_monaco","class switched memory B cell","L2"
"CL_0000786",TRUE,"blueprint","plasma cell","L1"
"CL_0000946",FALSE,"none","antibody secreting cell","L1"
"CL_0000623",TRUE,"azimuth_blueprint_monaco","natural killer cell","L0"
"CL_0001067",FALSE,"none","group 1 innate lymphoid cell","L0"
"CL_0000815",TRUE,"azimuth_blueprint_monaco","regulatory T cell","L2"
"CL_0002419",FALSE,"none","mature T cell","L1"
"CL_0000624",TRUE,"blueprint","CD4-positive, alpha-beta T cell","L1"
"CL_0000791",FALSE,"none","mature alpha-beta T cell","L1"
"CL_0000900",TRUE,"azimuth_monaco","naive thymus-derived CD8-positive, alpha-beta T cell","L2"
"CL_0000625",TRUE,"blueprint","CD8-positive, alpha-beta T cell","L1"
"CL_0001050",TRUE,"azimuth","effector CD8-positive, alpha-beta T cell","L2"
"CL_0000909",TRUE,"azimuth","CD8-positive, alpha-beta memory T cell","L2"
"CL_0000897",TRUE,"azimuth","CD4-positive, alpha-beta memory T cell","L2"
"CL_0000895",TRUE,"azimuth_monaco","naive thymus-derived CD4-positive, alpha-beta T cell","L2"
"CL_0000940",TRUE,"azimuth_monaco","mucosal invariant T cell","L1"
"CL_0001044",TRUE,"azimuth_monaco","effector CD4-positive, alpha-beta T cell","L2"
"CL_0000896",TRUE,"azimuth","activated CD4-positive, alpha-beta T cell","L2"
"CL_0000939",TRUE,"azimuth","CD16-positive, CD56-dim natural killer cell, human","L2"
"CL_0000824",FALSE,"none","mature natural killer cell","L1"
"CL_0001062",TRUE,"monaco","effector memory CD8-positive, alpha-beta T cell, terminally differentiated","L2"
"CL_0000935",TRUE,"azimuth","CD4-negative, CD8-negative, alpha-beta intraepithelial T cell","L2"
"CL_0000797",FALSE,"none","alpha-beta intraepithelial T cell","L1"
"CL_0000906",TRUE,"azimuth","activated CD8-positive, alpha-beta T cell","L2"
"CL_0000938",TRUE,"azimuth","CD16-negative, CD56-bright natural killer cell, human","L2"
"CL_0000934",TRUE,"azimuth","CD4-positive, alpha-beta cytotoxic T cell","L2"
