from,to,is_immune
B intermediate,CL_0000785,TRUE
B memory,CL_0000787,TRUE
B naive,CL_0000788,TRUE
Plasmablast,CL_0000980,TRUE
CD4 CTL,CL_0000934,TRUE
CD4 Naive,CL_0000895,TRUE
CD4 Proliferating,CL_0000896,TRUE
CD4 TCM,CL_0000897,TRUE
CD4 TEM,CL_0001044,TRUE
Treg,CL_0000815,TRUE
CD8 Naive,CL_0000900,TRUE
CD8 Proliferating,CL_0000906,TRUE
CD8 TCM,CL_0000909,TRUE
CD8 TEM,CL_0001050,TRUE
ASDC,CL_0000451,TRUE
cDC1,CL_0002394,TRUE
cDC2,CL_0002399,TRUE
pDC,CL_0000784,TRUE
CD14 Mono,CL_0002057,TRUE
CD16 Mono,CL_0002396,TRUE
NK,CL_0000939,TRUE
NK Proliferating,CL_0000623,TRUE
NK_CD56bright,CL_0000938,TRUE
Eryth,CL_0000764,TRUE
HSPC,CL_0008001,TRUE
ILC,CL_0001065,TRUE
Platelet,CL_0000233,TRUE
dnT,CL_0000935,TRUE
gdT,CL_0000798,TRUE
MAIT,CL_0000940,TRUE
