from,to,is_immune
CL_0000738,CL_0000738,TRUE
CL_1001610,CL_0000988,TRUE
CL_0008001,CL_0008001,TRUE
CL_0000081,CL_0000988,TRUE
CL_0000763,CL_0000763,TRUE
CL_0000831,CL_0000763,TRUE
CL_0000837,CL_0000837,TRUE
CL_0000390,CL_0000988,TRUE
CL_0000145,CL_0000738,TRUE
CL_0000764,CL_0000764,TRUE
CL_0011114,CL_0000096,TRUE
CL_0000556,CL_0000556,TRUE
CL_0000611,CL_0000763,TRUE
CL_0000613,CL_0000763,TRUE
CL_0000762,CL_0000763,TRUE
CL_0001029,CL_0000763,TRUE
CL_0000232,CL_0000232,TRUE
CL_0002009,CL_0000763,TRUE
CL_0000766,CL_0000766,TRUE
CL_0002193,CL_0000763,TRUE
CL_0002192,CL_0000763,TRUE
CL_0000836,CL_0000763,TRUE
CL_0002010,CL_0000763,TRUE
CL_0010004,CL_0000842,TRUE
CL_0000834,CL_0000763,TRUE
CL_2000074,CL_0000738,TRUE
CL_0002476,CL_0000988,TRUE
CL_0002028,CL_0000763,TRUE
CL_0000050,CL_0000050,TRUE
CL_0002031,CL_0008001,TRUE
CL_0000842,CL_0000842,TRUE
CL_0000037,CL_0000037,TRUE
CL_0002087,CL_0000738,TRUE
CL_0002032,CL_0002032,TRUE
CL_0002318,CL_0000988,TRUE
CL_0000557,CL_0000557,TRUE
CL_0000835,CL_0000763,TRUE
CL_0000040,CL_0000763,TRUE
CL_0000094,CL_0000094,TRUE
CL_0000828,CL_0000763,TRUE
CL_0000553,CL_0000763,TRUE
CL_0000233,CL_0000233,TRUE
CL_0000559,CL_0000763,TRUE
CL_0000235,CL_0000235,TRUE
CL_0002026,CL_0000556,TRUE
CL_0000049,CL_0000049,TRUE
CL_0002002,CL_0000557,TRUE
CL_0002043,CL_0002043,TRUE
CL_0002246,CL_0000037,TRUE
CL_0000542,CL_0000542,TRUE
CL_0000769,CL_0000763,TRUE
CL_0000042,CL_0000763,TRUE
CL_0002461,CL_0000766,TRUE
CL_0000871,CL_0000738,TRUE
CL_0000830,CL_0000763,TRUE
CL_0002417,CL_0000764,TRUE
CL_0002044,CL_0000763,TRUE
CL_0002036,CL_0000837,TRUE
CL_0000595,CL_0000232,TRUE
CL_0000775,CL_0000775,TRUE
